What is the capital of France?,Paris,Eiffel Tower,City of Light,Louvre
Which element has the chemical symbol O?,Oxygen,Air,Breath,Water
What is the largest planet in our solar system?,Jupiter,Gas Giant,Great Red Spot,Many Moons
What is the primary language spoken in Brazil?,Portuguese,Rio,Carnival,South America
What is the hardest natural substance on Earth?,Diamond,Gem,Carbon,Hardest
What is the tallest mountain in the world?,Everest,Himalayas,Nepal,Highest
What is the currency used in Japan?,Yen,Tokyo,Economy,Money
What is the chemical formula for water?,H2O,Liquid,Hydrogen,Oxygen
What is the smallest prime number?,Two,Even,First,Number
What planet is known as the Red Planet?,Mars,Fourth,Rover,Dust
What gas do plants absorb from the atmosphere?,Carbon,Photosynthesis,Greenhouse,Dioxide
What is the largest ocean on Earth?,Pacific,Vast,Blue,Ocean
What is the longest river in the world?,Nile,Egypt,Flow,River
What is the largest mammal?,Blue Whale,Ocean,Giant,Marine
What is the hardest rock?,Granite,Countertop,Igneous,Durable
What is the largest continent?,Asia,Largest,China,India
What is the largest desert?,Sahara,Africa,Hot,Sandy
What is the freezing point of water in Celsius?,Zero,Cold,Ice,Temperature
What is the chemical symbol for gold?,Au,Precious,Metal,Shiny
What is the primary component of the sun?,Hydrogen,Star,Fusion,Sun
What is the name of the closest star to Earth?,Sun,Bright,Day,Solar
What is the largest country by land area?,Russia,Siberia,Moscow,Vast
What is the name of the galaxy we live in?,Milky Way,Stars,Space,Galaxy
What is the primary gas in Earth's atmosphere?,Nitrogen,Air,Atmosphere,Gas
What is the chemical symbol for sodium?,Na,Salt,Metal,Reactive
What is the hardest part of the human body?,Enamel,Teeth,Strong,White
What planet is known for its rings?,Saturn,Gas Giant,Rings,Sixth
What is the powerhouse of the cell?,Mitochondria,Energy,Cell,Organelle
What is the chemical symbol for iron?,Fe,Metal,Rust,Steel
What is the tallest tree species?,Redwood,California,Forest,Giant
What is the most abundant element in the universe?,Hydrogen,Star,Lightest,Element
What is the common name for sodium chloride?,Salt,Seasoning,White,Table
What is the main ingredient in guacamole?,Avocado,Green,Fruit,Mexican
What is the largest internal organ in the human body?,Liver,Detox,Filter,Blood
What is the capital city of Australia?,Canberra,Politics,Oceania,Government
What is the primary metal in brass?,Copper,Alloy,Bronze,Shiny
What is the capital of Canada?,Ottawa,Maple,North,City
What is the primary ingredient in tofu?,Soybean,Protein,Vegetarian,Bean
What is the largest type of deer?,Moose,Antlers,North,America
What is the common name for dihydrogen monoxide?,Water,Liquid,Drink,Clear
What is the chemical symbol for potassium?,K,Banana,Electrolyte,Metal
What is the most populous country in the world?,China,Beijing,Asia,People
What is the smallest bird in the world?,Hummingbird,Small,Fast,Wings
What is the most widely spoken language in the world?,Mandarin,China,Dialect,Tones
What is the primary source of energy for the Earth?,Sun,Solar,Star,Daylight
What is the main gas found in the air we breathe?,Nitrogen,Atmosphere,78%,Gas
What is the process by which plants make food?,Photosynthesis,Light,Chlorophyll,Energy
What is the main ingredient in traditional hummus?,Chickpea,Middle Eastern,Dip,Legume
What is the primary ingredient in bread?,Flour,Baking,Wheat,Dough
What is the main language spoken in Mexico?,Spanish,Latin America,Hispanic,Language
What is the chemical symbol for mercury?,Hg,Liquid,Metal,Thermometer
What is the primary component of natural gas?,Methane,Fuel,Gas,CH4
What is the smallest unit of life?,Cell,Biology,Living,Organism
What is the main ingredient in sushi?,Rice,Japanese,Roll,Fish
What is the capital city of Italy?,Rome,Colosseum,Italy,Ancient
What is the chemical symbol for silver?,Ag,Precious,Metal,Shiny
What is the most abundant gas in the Earth's atmosphere?,Nitrogen,Air,78%,Gas
What is the primary ingredient in chocolate?,Cocoa,Sweet,Dessert,Candy
What is the chemical symbol for lead?,Pb,Heavy,Metal,Toxic
What is the main gas responsible for the greenhouse effect?,Carbon,Climate,Dioxide,Gas
What is the primary component of steel?,Iron,Alloy,Metal,Strong
What is the capital city of Egypt?,Cairo,Pyramids,Nile,Pharaohs
What is the largest bone in the human body?,Femur,Thigh,Bone,Strongest
What is the primary metal used in electronics?,Silicon,Chip,Semiconductor,Technology
What is the chemical formula for table salt?,NaCl,Seasoning,White,Crystal
What is the smallest bone in the human body?,Stapes,Ear,Tiny,Hearing
What is the largest island in the world?,Greenland,Arctic,Danish,Island
What is the chemical symbol for chlorine?,Cl,Disinfectant,Green,Gas
What is the primary component of bones?,Calcium,Mineral,Skeleton,Strong
What is the main ingredient in meringue?,Egg,Whites,Sugar,Dessert
What is the capital city of Japan?,Tokyo,Asia,City,Metropolis
What is the chemical formula for carbon dioxide?,CO2,Exhale,Greenhouse,Gas
What is the largest species of shark?,Whale,Ocean,Filter,Plankton
What is the primary metal in bronze?,Copper,Alloy,Statue,Brown
What is the smallest particle of an element?,Atom,Physics,Matter,Tiny
What is the capital city of Germany?,Berlin,Brandenburg,Wall,City
What is the chemical symbol for zinc?,Zn,Metal,Galvanize,Alloy
What is the primary ingredient in ketchup?,Tomato,Condiment,Red,Sauce
What is the main ingredient in beer?,Barley,Hops,Alcohol,Drink
What is the capital city of South Korea?,Seoul,Asia,City,K-Pop
What is the chemical formula for glucose?,C6H12O6,Sugar,Energy,Sweet
What is the primary ingredient in pasta?,Wheat,Noodle,Italian,Food
What is the capital city of Russia?,Moscow,Kremlin,Red Square,City
What is the smallest country in the world?,Vatican,Rome,Holy,City
What is the capital city of India?,New Delhi,Asia,City,Government
What is the chemical symbol for copper?,Cu,Conductive,Metal,Wires
What is the main component of the Earth's core?,Iron,Center,Magnetic,Hot
What is the largest type of bear?,Polar,Arctic,White,Carnivore
What is the primary ingredient in mayonnaise?,Egg,Oil,Condiment,Spread
What is the capital city of the United Kingdom?,London,Big Ben,Thames,City
What is the primary source of vitamin D?,Sun,Skin,Rickets,Sunlight
What is the capital city of the USA?,Washington,White House,DC,Capitol
